Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxL,maxFE,maxGen,minAE,minET,minH,minV,minL,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,1100,11.73,46.92,2.45,13.06,10.3,50.912727272727274,0.0,24.5,98.0,4.0,16.0,19.0,99.0,0,0.25,1.0,1.0,10.0,1.0,1.0,0,1173.0,56004.0,57177.0,0.0
1,96,1016,50.231770833333336,45.885416666666664,2.4375,13.145833333333334,9.34375,50.44758858267716,0.0,113.0,98.0,4.0,16.0,18.0,98.0,0,0.75,1.0,1.0,10.0,2.0,1.0,0,4822.25,51254.75,56077.0,38.0
2,130,994,40.24230769230769,42.57692307692308,2.5092307692307694,13.041538461538462,9.69538461538462,49.335575955734406,0.33076923076923076,160.5,98.0,4.05,16.08,17.0,97.0,1,2.625,1.0,0.95,9.92,3.0,1.0,0,5231.5,49039.5625,54271.0625,52.0
3,160,921,49.7736328125,41.0125,2.4965625,13.022499999999997,9.856250000000001,48.538511129207386,0.5,145.5,98.0,4.05,16.08,19.2,96.0,2,1.9375,1.0,0.95,9.92,3.0,1.0,0,7963.78125,44703.96875,52667.75,29.0
4,210,860,41.45424107142857,39.77619047619048,2.5697619047619056,13.115619047619052,9.799047619047622,48.75345203488372,0.7619047619047619,149.25,98.0,4.1,16.159999999999997,18.0,95.0,2,1.421875,1.0,0.8999999999999999,9.92,3.0,1.0,0,8705.390625,41927.96875,50633.359375,88.25
5,258,782,43.304445251937985,38.286821705426355,2.5031007751937993,13.019069767441861,9.725968992248061,48.070792039641944,0.9612403100775194,151.125,98.0,4.1,16.159999999999997,19.2,123.5,3,0.42578125,1.0,0.8499999999999999,9.84,3.0,1.0,0,11172.546875,37591.359375,48763.90625,148.14999999999998
6,325,710,40.32540264423077,37.29846153846154,2.5606153846153856,12.99655384615385,9.395692307692311,47.14487235915493,1.2030769230769232,161.125,97.0,4.1,16.159999999999997,17.0,141.625,3,0.8515625,1.0,0.8499999999999999,9.84,3.0,0.40625,0,13105.755859375,33472.859375,46578.615234375,191.29999999999998
7,375,627,39.938471354166666,35.458666666666666,2.578133333333334,12.929280000000006,9.366533333333335,47.277630332934606,1.3573333333333333,165.5625,97.0,4.1499999999999995,16.159999999999997,19.4,140.625,4,0.578125,1.0,0.7999999999999998,9.84,2.8,1.0,0,14976.9267578125,29643.07421875,44620.0009765625,290.9
8,432,577,37.2578695791739,33.710648148148145,2.5490740740740736,12.939259259259266,9.08761574074074,45.61246885831889,1.6018518518518519,157.265625,97.0,4.1499999999999995,16.239999999999995,14.0,139.625,5,0.578125,1.0,0.7499999999999998,9.76,2.8,0.421875,0,16095.399658203125,26318.39453125,42413.794189453125,489.95
9,447,528,37.65000939422539,33.15212527964206,2.5071588366890367,12.808859060402687,9.167225950782997,44.95683704723012,1.8165548098434003,148.375,97.0,4.1499999999999995,16.239999999999995,19.4,143.546875,5,0.578125,1.0,0.7499999999999998,9.76,2.8,1.0,0,16829.55419921875,23737.2099609375,40566.76416015625,604.5
10,470,466,37.85735967108544,32.214893617021275,2.5145744680851045,12.712851063829792,8.735957446808506,45.01902934717006,1.9893617021276595,172.453125,97.0,4.1499999999999995,16.239999999999995,18.4,155.484375,6,0.8515625,1.0,0.7499999999999998,9.76,2.8,1.0,0,17792.959045410156,20978.86767578125,38771.826721191406,696.0
11,484,445,35.540241462140045,30.49586776859504,2.552066115702478,12.625041322314052,8.578719008264454,44.49273325030723,2.1714876033057853,148.375,92.0,4.1499999999999995,16.239999999999995,19.599999999999998,154.484375,6,0.8515625,1.0,0.7499999999999998,9.76,2.8,0.59259033203125,0,17201.47686767578,19799.26629638672,37000.7431640625,819.25
12,506,397,36.359248436486766,30.393280632411066,2.5327075098814213,12.442134387351778,8.599505928853752,42.29156632507478,2.391304347826087,173.875,92.0,4.199999999999999,16.239999999999995,19.4,153.484375,6,0.8515625,1.0,0.6999999999999997,9.76,2.8,0.2164306640625,0,18397.779708862305,16789.751831054688,35187.53153991699,757.1999999999999
13,512,361,34.76524045318365,29.3125,2.5304687500000003,12.331406249999997,8.591113281249994,43.77894013211998,2.62109375,205.4189453125,92.0,4.199999999999999,16.239999999999995,2.5500000000000016,173.875,7,0.6722908020019531,1.0,0.6999999999999997,9.76,2.8,0.09375,0,17799.80311203003,15804.197387695312,33604.00049972534,807.75
14,519,348,31.248029962440448,28.828516377649326,2.6119460500963383,12.33772639691715,8.525722543352607,44.7999943261859,2.8092485549132946,158.5771484375,92.0,4.199999999999999,16.319999999999993,16.2,175.33770751953125,7,0.50860595703125,1.0,0.6999999999999997,9.68,3.0,0.30078125,0,16217.727550506592,15590.398025512695,31808.125576019287,895.6999999999999
15,508,326,31.358550762566995,28.124015748031496,2.674704724409448,12.26984251968504,8.271555118110236,44.26308558177363,2.9625984251968505,154.59375,92.0,4.199999999999999,16.319999999999993,19.4,174.33770751953125,7,0.8904266357421875,1.0,0.6999999999999997,9.68,3.0,0.25,0,15930.143787384033,14429.765899658203,30359.909687042236,918.4499999999999
16,511,329,29.019403200093546,26.71819960861057,2.743444227005871,12.284383561643835,8.517906066536206,42.736798100920794,3.238747553816047,197.76544189453125,92.0,4.199999999999999,16.319999999999993,11.8,157.5771484375,7,0.304107666015625,1.0,0.6999999999999997,9.68,3.0,0.38013458251953125,0,14828.915035247803,14060.406575202942,28889.321610450745,805.1999999999999
17,519,280,30.22979132150639,25.75722543352601,2.7851637764932575,12.139344894026973,8.765703275529873,42.17565777982984,3.4258188824662814,197.76544189453125,92.0,4.249999999999999,16.319999999999993,19.599999999999998,154.59375,7,0.25457763671875,1.0,0.6999999999999997,9.68,3.0,0.145843505859375,0,15689.261695861816,11809.184178352356,27498.445874214172,688.35
18,545,253,28.059894803248415,23.83669724770642,2.8618348623853214,12.019963302752291,9.011284403669734,41.81352199584599,3.6642201834862385,199.7158203125,81.0,4.249999999999999,16.319999999999993,13.05,165.1015625,7,0.25457763671875,1.0,0.6999999999999997,9.68,3.0,0.0458984375,0,15292.642667770386,10578.821064949036,25871.46373271942,767.05
19,557,242,25.639318173406796,22.364452423698385,2.8796229802513436,12.040287253141829,8.998922800718129,42.703727410844536,3.919210053859964,187.705078125,81.0,4.249999999999999,16.319999999999993,14.399999999999999,199.7158203125,7,0.25457763671875,1.0,0.6999999999999997,9.76,3.0,0.3427734375,0,14281.100222587585,10334.302033424377,24615.402256011963,971.95
20,559,229,25.99200520233946,21.742397137745975,2.8540250447227202,12.031127012522361,8.808139534883727,38.609986280249714,4.100178890876565,203.7562255859375,81.0,4.249999999999999,16.39999999999999,19.599999999999998,198.7158203125,8,0.25457763671875,1.0,0.7999999999999998,9.76,3.0,0.378326416015625,0,14529.530908107758,8841.686858177185,23371.217766284943,1065.25
21,532,257,22.620842186580028,20.81015037593985,2.8278195488721813,11.977218045112773,8.904605263157908,39.02649038218339,4.327067669172933,140.97119140625,81.0,4.199999999999999,16.39999999999999,6.0,197.7158203125,8,0.25457763671875,1.0,0.7999999999999998,9.68,2.8,0.32421112060546875,1,12034.288043260574,10029.80802822113,22064.096071481705,1294.2
22,528,258,21.438219536773182,19.21590909090909,2.8194128787878787,11.96772727272727,9.409659090909086,37.259461173715515,4.577651515151516,224.7724609375,82.0,4.199999999999999,16.39999999999999,16.2,209.974609375,8,0.2775707244873047,1.0,0.7499999999999998,9.68,2.8,0.14617919921875,1,11319.37991541624,9612.940982818604,20932.320898234844,838.95
23,515,244,22.251113376918347,19.267961165048543,2.8268932038834946,11.910524271844652,9.280776699029127,34.95427659300507,4.757281553398058,216.564453125,82.0,4.199999999999999,16.39999999999999,19.599999999999998,208.974609375,9,0.26095008850097656,1.0,0.6999999999999997,9.68,2.8,0.22772216796875,1,11459.32338911295,8528.843488693237,19988.166877806187,936.95
24,510,232,21.16131520744632,18.501960784313727,2.828235294117647,11.951686274509802,9.19137254901961,35.11704800990892,4.9980392156862745,216.564453125,82.0,4.199999999999999,16.39999999999999,19.599999999999998,207.974609375,9,0.26095008850097656,1.0,0.6999999999999997,9.68,3.0,0.1927032470703125,1,10792.270755797625,8147.155138298869,18939.425894096494,932.65
25,519,214,19.872786973367997,18.238921001926784,2.870905587668591,11.95129094412331,9.534682080924858,35.05776561197833,5.233140655105973,216.564453125,82.0,4.199999999999999,16.39999999999999,19.599999999999998,206.974609375,9,0.4209880828857422,1.0,0.6999999999999997,9.68,3.0,0.31927490234375,1,10313.97643917799,7502.361840963364,17816.338280141354,781.5
26,540,202,18.24697117626115,17.238888888888887,2.8818518518518506,11.869999999999992,10.031296296296293,34.58857852777485,5.433333333333334,234.0711669921875,82.0,4.199999999999999,16.39999999999999,14.0,216.564453125,9,0.4209880828857422,1.0,0.6999999999999997,9.68,3.0,0.06624984741210938,1,9853.364435181022,6986.892862610519,16840.25729779154,687.65
27,542,189,18.800211523621723,16.551660516605168,2.9290590405904013,11.862878228782284,9.902029520295196,31.045846228679967,5.662361623616236,200.88147354125977,82.0,4.249999999999999,16.47999999999999,15.399999999999999,215.564453125,10,0.28444910049438477,1.0,0.7999999999999998,9.68,3.0,0.10666847229003906,1,10189.714645802975,5867.664937220514,16057.379583023489,808.9499999999999
28,546,192,17.226117167000968,16.073260073260073,2.901373626373626,11.824175824175821,9.749908424908433,29.041927611261297,5.858974358974359,200.88147354125977,82.0,4.249999999999999,16.47999999999999,19.799999999999997,214.564453125,10,0.28444910049438477,1.0,0.7999999999999998,9.68,3.0,0.15232467651367188,1,9405.45997318253,5576.050101362169,14981.510074544698,1078.7
