Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxL,maxFE,maxGen,minAE,minET,minH,minV,minL,minFE,minGen,totalAE,totalFE,totalE,totalCombat,,low bound,mid bound,high bound,avgCombat,food_change 
0,500,1800,6.186,24.744,4.95,74.444,25.188,25.480555555555554,0,12.25,49,9,149,49,49,0,0.25,1,1,1,1,1,0,3093,45865,48958,0,,0,0,0,0,
1,464,1599,16.67887931034483,24.663793103448278,4.9719827586206895,73.99568965517241,26.724137931034484,24.65228267667292,0,58.25,49,9,149,49,48,0,0.25,1,1,1,2,0.5,0,7739,39419,47158,1818,,464,2307,4176,3.918103448,-201
2,459,1571,17.213099128540303,24.09259259259259,5.017429193899782,73.51960784313725,28.11437908496732,23.56572246976448,0.13071895424836602,71.75,49.5,9.1,149,49,47,1,0.25,0.5,0.9,1,1.5,0.25,0,7900.8125,37021.75,44922.5625,2258,,619.65,3454.5,6265.35,4.919389978,-28
3,465,1457,21.257157258064517,23.23763440860215,5.0720430107526875,72.57526882,28.53548387096774,22.67124227865477,0.26021505376344084,85.5,49.5,9.1,149,49,59.25,2,0.25,0.5,0.9,0.5,1.5,0.25,0,9884.578125,33032,42916.57813,1450,,418.5,2358.5,4231.5,3.11827957,-114
4,502,1342,22.75964890438247,22.378486055776893,5.155577689243024,71.63147410358566,28.33167330677291,21.808657786885245,0.43227091633466136,88.5,49.5,9.1,150.5,49,58.25,2,0.140625,0.5,0.9,0.5,1,0.25,0,11425.34375,29267.21875,40692.5625,1395.7,,225.9,1294.05,2284.1,2.780278884,-115
5,533,1235,23.321939493433394,21.73639774859287,5.251594746716696,71.44746716697937,28.565666041275797,21.138866396761134,0.6303939962476548,84.0625,50,9.1,150.5,49.5,88.5,3,0.28125,0.5,0.8,0.5,0.5,0.25,0,12430.59375,26106.5,38537.09375,1419.1999999999998,,213.2,1399.55,2425.15,2.662664165,-107
6,571,1144,21.148088605516637,20.626094570928196,5.392819615,71.13660245183888,28.59894921190893,21.20813073645105,0.8441330998248686,86.75,50,9.2,150.5,49.5,87.5,3,0.28125,0.5,0.7000000000000001,1,1,0.25,0,12075.55859,24262.10156,36337.66016,1665.1,,199.85,1539.65,2626.6,2.916112084,-91
7,618,1009,21.410314269822006,19.89482200647249,5.434466019417472,70.83171521035598,29.124595469255663,20.883660338206145,1.0404530744336569,80.1875,50,9.2,150.5,49.5,86.5,3,0.161132813,0.5,0.7000000000000001,1,1,0.25,0,13231.57422,21071.61328,34303.1875,1590.5,,216.3,1679.25,2842.8,2.573624595,-135
8,675,878,20.761304976851854,19.076296296296295,5.496444444444443,69.82,29.258518518518517,20.767142119874716,1.2177777777777778,94.59375,50,9.2,150.5,49.5,85.5,4,0.161132813,0.5,0.7000000000000001,0,1,0.21875,0,14013.88086,18233.55078,32247.43164,1814.1,,236.25,1855.05,3105,2.687555556,-131
9,726,757,19.91325071560778,18.482782369146005,5.510192837465561,69.32300275482093,30.09366391184573,20.94581352042396,1.393939393939394,81.5625,50,9.2,150.5,49.5,84.5,4,0.41015625,0.5,0.7000000000000001,0,1,0.215820313,0,14457.02001953125,15855.980834960938,30313.000854492188,2286.4,,508.2,4000.4,6679.2,3.149311295,-121
10,763,668,18.951789106016548,18.072083879423328,5.594495413,68.51507208387942,30.81651376146789,21.030964011917572,1.5976408912188729,81.5625,49.5,9.299999999999999,152,49.5,83.5,5,0.330322266,0.5,0.7000000000000001,0,1,0.25,0,14460.215087890625,14048.683959960938,28508.899047851562,2603.2,,534.1,4268.6,7095.9,3.411795544,-89
11,800,574,17.991980686187745,17.5875,5.642874999999995,68.87625,31.04875,21.91302064902276,1.7825,82.71875,49.5,9.299999999999999,152,49.5,82.5,6,0.255859375,0.5,0.7000000000000001,0,1.5,0.100585938,0,14393.584548950195,12578.073852539062,26971.658401489258,2852.6,,560,4514.3,7440,3.56575,-94
12,802,512,18.420791911365384,17.33416458852868,5.663591022443884,68.40960099750623,31.449501246882793,21.086819410324097,1.9438902743142146,90.72265625,48.5,9.299999999999999,152,49.5,81.5,6,0.255859375,0.5,0.7000000000000001,0,1.5,0.125,0,14773.475112915039,10796.451538085938,25569.926651000977,3574.7,,842.1,6813.3,11187.9,4.45723192,-62
13,792,495,17.191872702704536,16.793560606060606,5.693181818,66.81313131313131,32.035353535353536,21.126502451270518,2.0744949494949494,98.24609375,48.5,9.299999999999999,152,49.5,78.1875,6,0.255859375,0.5,0.8,0,7,0.078125,0,13615.963180541992,10457.618713378906,24073.58189,3673.2,,950.4,6763.5,11048.4,4.637878788,-17
14,817,462,15.701214261562763,16.17564259485924,5.736964504283962,66.80660954712363,32.5250918,21.35541157908254,2.274173806609547,98.24609375,48.5,9.299999999999999,152,49.5,77.1875,6,0.255859375,0.5,0.8,0,6.5,0.014526367,0,12827.892051696777,9866.200149536133,22694.09220123291,3378.7,,980.4,7030.65,11397.15,4.135495716,-33
15,811,423,15.849893454705743,15.78545006165228,5.754007398273732,66.84771886559803,33.55487053020962,20.408411264983194,2.404438964241677,98.24609375,48.5,9.299999999999999,153.5,49.5,76.1875,6,0.255859375,0.5,0.8,0,6,0.004150391,0,12854.263591766357,8632.757965,21487.021556854248,3288,,973.2,6999.75,11313.45,4.054254007,-39
16,825,398,15.191091710870916,15.687878787878788,5.742545454545452,67.80121212121212,34.21575757575758,19.177612534719497,2.546666666666667,98.24609375,48.5,9.299999999999999,153.5,49.5,85.078125,6,0.255401611,0.5,0.8,0,6.5,0.029052734,0,12532.650661468506,7632.689788818359,20165.340450286865,3484.1,,990,7106.4,11508.75,4.223151515,-25
17,834,352,14.519773984126907,15.129496402877697,5.762470023980817,68.52697841726619,34.66606714628298,19.42269515991211,2.7158273381294964,98.24609375,48.5,9.299999999999999,153.5,49.5,84.078125,7,0.255401611,0.5,0.8,0,7,0.050292969,0,12109.49150276184,6836.7886962890625,18946.280199050903,3321.5,,667.2,4805.9,7756.2,3.982613909,-46
18,829,326,14.126082313362739,14.556091676718939,5.797949336550056,67.86429433,35.25392038600724,19.033823188828546,2.879372738238842,97.0390625,47.5,9.299999999999999,153.5,49.5,98.24609375,7,0.199310303,0.5,0.8,0,7,0.119140625,0,11710.52223777771,6205.0263595581055,17915.548597335815,3491.2,,994.8,7209.75,11564.55,4.211338963,-26
19,827,298,14.111749306555382,14.455259975816203,5.8989117291414725,67.52781136638453,36.18923821039903,17.725350226331877,3.033857315598549,123.1796875,48,9.299999999999999,153.5,50,76.078125,7,0.199310303,0.5,0.8,0, ,0.008300781,0,11670.416676521301,5282.154367446899,16952.57104,3531.9,,992.4,7317.6,11536.65,4.270737606,-28
20,827,274,13.259622853497063,13.659613059250303,5.9608222490931055,67.73941958887545,36.97218863361548,18.50890663592485,3.181378476420798,96.8515625,48,9.299999999999999,153.5,50,84.6796875,7,0.199310303,0.5,0.7000000000000001,0,7,0.5,0,10965.708099842072,5071.440418243408,16037.14851808548,3689.2,,868.35,7394.4,11536.65,4.460943168,-24
21,796,278,12.552753007292148,13.172738693467336,5.9359296482412045,67.38693467336684,37.5678392,18.818069823354268,3.350502512562814,90.15625,48,9.299999999999999,153.5,50,96.8515625,7,0.199310303,0.5,0.7000000000000001,0,7,0.3984375,0,9991.991394,5231.423410892487,15223.414804697037,4057.4,,1114.4,9450,14805.6,5.097236181,4
22,787,279,11.933102984894942,12.696315120711564,5.901143583227435,66.9707751,38.282083862770016,17.731884130867577,3.494282084,88.70410156,48,9.299999999999999,153.5,50,95.8515625,7,0.18887901306152344,0.5,0.8,0,7,0.032440186,0,9391.352049,4947.195672512054,14338.547721624374,3799.4,,944.4,6966.3,10978.65,4.827700127,1
23,769,272,11.393674087307389,12.173602080624187,5.911183355006496,66.95708712613784,38.86020806241873,17.429750831688153,3.690507152145644,101.8239746,48,9.299999999999999,152,50,94.8515625,8,0.18887901306152344,0.5,0.8,1,8.5,0.28125,0,8761.735373139381,4740.892226219177,13502.627599358559,3597.3,,922.8,6818.55,10727.55,4.677893368,-7
24,739,262,11.197700033007198,11.907983761840324,5.834235453315287,68.90392422192151,39.125169147496614,16.908868119006847,3.814614343707713,97.28125,48,9.299999999999999,152,50.5,93.8515625,8,0.1675788164138794,0.5,0.7000000000000001,1,8.5,0.037109375,1,8275.100324392319,4430.123447179794,12705.223771572113,3449.9,,775.95,6467.25,10309.05,4.668335589,-10
25,755,223,10.82228041184659,11.829139072847681,5.829933774834436,69.35033112582782,39.24105960264901,16.622829667121305,3.9655629139072848,83.85089111328125,48,9.299999999999999,152,51,92.8515625,8,0.1675788164138794,0.5,0.7000000000000001,1,14.5,0.007263184,1,8170.821710944176,3706.891015768051,11877.712726712227,3153,,792.75,6602.4,10532.25,4.17615894,-39
26,748,227,10.153890675401943,11.428475935828876,5.925802139037433,69.67981283,39.64505347593583,15.825848545271919,4.144385026737968,95.42514419555664,48,9.299999999999999,152,51,83.85089111328125,8,0.1675788164138794,0.5,0.7000000000000001,1,15,0.090332031,1,7595.110225200653,3592.4676197767258,11187.577844977379,3197.3,,785.4,6648.75,10434.6,4.274465241,4
27,745,205,10.172198646020568,10.848322147651007,5.924697986577177,70.10335570469799,39.76979865771812,14.680721430080693,4.336912751677852,95.42514419555664,48,9.2,152,51,82.85089111328125,8,0.22431623935699463,0.5,0.7000000000000001,1.5,15,0.14028549194335938,1,7578.287991285324,3009.547893166542,10587.835884451866,3268.2,,782.25,6620.85,10281,4.386845638,-22
28,743,175,10.165030946240611,10.571332436069987,5.996769851951542,70.23755047106326,39.93606998654105,14.23823363167899,4.468371467025572,95.42514419555664,48,9.2,152,51,89.22684860229492,8,0.16155004501342773,0.5,0.7000000000000001,0,15,0.24632644653320312,1,7552.617993056774,2491.6908855438232,10044.308878600597,3351.6,,780.15,6683.4,10253.4,4.51090175,-30
29,698,203,9.933102682360946,10.260744985673352,5.926647564469915,70.46561604584527,39.97922636103152,12.735186331965066,4.591690544412607,95.42514419555664,48,9.2,152,51,88.22684860229492,8,0.16155004501342773,0.5,1.7999999999999998,0,15,0.14253568649291992,1,6933.305672287941,2585.2428253889084,9518.548498,3773.2999999999997,,2512.8,8273.6,12843.2,5.405873926,28
30,668,214,9.218893936205053,10.032185628742514,5.955988023952099,70.79041916167665,40.43787425149701,12.891606639618072,4.7380239520958085,95.42514419555664,48,9.2,152,51,79.85089111328125,8,0.16155004501342773,0.5,1.6999999999999997,0,17,0.19262313842773438,1,6158.221149384975,2758.8038208782673,8917.024970263243,3355.2,,2271.2,7957.2,12291.2,5.022754491,11
31,663,210,8.641225234460688,9.937405731523379,5.959879336349924,72.05203619909503,40.38989441930618,12.282384724560238,4.904977375565611,95.42514419555664,48,9.2,152,50.5,62.51066970825195,8,0.16155004501342773,0.5,1.6999999999999997,0,17.5,0.045729637145996094,2,5729.132330447435,2579.300792,8308.433122605085,2784.5,,1690.65,5927.1,9149.4,4.19984917,-4
