Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat,,nfactor ,min_bound,avg_bound,max_bound
0,100,600,12.8,51.2,5.23,12.48,25.69,0,49.47166667,0,24.75,99,9,14,49,99,0,0.75,3,1,10,1,1,0,1280,29683,30963,0,,0,-40,-209.2,-360
1,96,1139,46.94270833,50.60416667,5.177083333,12.44791667,26.6875,2.21875,48.54389816,0,102.5,99,9,14,49,121.5,0,1,3,1,10,2,1,0,4506.5,55291.5,59798,126,,1.3125,0,0,0
2,113,1147,50.21681416,48.44247788,4.994690265,12.38725664,27.46017699,3.725663717,48.47798605,0.212389381,170.25,99,9.1,14.06,49,120.5,1,2.1875,3,0.9,9.94,2,1,0,5674.5,55604.25,61278.75,226,,2,40.68,225.76,411.32
3,136,1127,54.96380974,46.01470588,5.000735294,12.28294118,27.83088235,3.720588235,47.84183673,0.389705882,244.75,99,9.1,14.06,49,119.5,2,3.25,3,0.9,9.94,2,1,0,7475.078125,53917.75,61392.82813,133,,0.977941176,-48.96,-272.04,-495.04
4,174,1160,53.04296875,43.86781609,5.114367816,12.23402299,27.51724138,3.662643678,47.09676724,0.637931034,170.25,99,9.1,14.06,49,118.5,2,2.296875,3,0.8,9.94,2.5,0.75,0,9229.476563,54632.25,63861.72656,159.3,,0.915517241,-55.68,-355.96,-633.36
5,200,1190,57.44486328,42.97,5.1155,12.2051,28.3875,3.945,46.43996849,0.785,239.125,99,9.2,14.12,49,117.5,2,1.23046875,3,0.8,9.88,3,1,0,11488.97266,55263.5625,66752.53516,250.8,,1.254,0,0,0
6,241,1224,56.191698,43.87966805,5.256016598,12.17634855,28.65145228,4.030705394,46.16911765,0.98340249,170.25,99,9.2,14.12,49,116.5,3,1.375,3,0.8,9.88,3,1,0,13542.19922,56511,70053.19922,335.2,,1.390871369,0,0,0
7,275,1157,64.97817116,41.85454545,5.189090909,12.12778182,28.94727273,4.686909091,45.81070049,1.167272727,194.75,99,9.2,14.12,49,115.5,3,1.375,3,0.8,9.88,2.5,0.25,0,17868.99707,53002.98047,70871.97754,354.5,,1.289090909,0,0,0
8,329,1136,60.4512676,41.5106383,5.310334347,12.10395137,29.25227964,4.910638298,46.09500509,1.367781155,234.96875,99,9.2,14.12,49,114.5,4,1.375,3,0.8,9.82,2.5,1,0,19888.46704,52363.92578,72252.39282,549.1,,1.66899696,0,0,0
9,364,1056,65.4800955,41.04395604,5.357692308,12.07554945,29.44230769,5.859065934,46.01293575,1.513736264,231.4375,99,9.2,14.12,49,170.25,4,1.132202148,3,0.8,9.82,2,1,0,23834.75476,48589.66016,72424.41492,649.8,,1.785164835,0,0,0
10,395,1048,66.85388245,40.18987342,5.368860759,12.07367089,29.51265823,7.301265823,47.01199178,1.673417722,257.4375,99,9.2,14.18,49,169.25,4,1.132202148,3,0.7,9.82,2.5,0.375,0,26407.28357,49268.56738,75675.85095,1293.5,,3.274683544,221.2,1696.56,2907.2
11,422,982,65.34543801,39.21327014,5.313033175,12.05905213,29.77251185,7.737203791,48.44793192,1.829383886,266.578125,99,9.2,14.18,49,168.25,5,1.132202148,3,0.7,9.76,2.5,1,0,27575.77484,47575.86914,75151.64398,1301.1,,3.083175355,236.32,1793.68,3105.92
12,475,934,60.30609426,38.57684211,5.416842105,12.08517895,30.22315789,8.506315789,49.79605266,2.006315789,263.5,99,9.2,14.18,49,207.6875,5,1.132202148,2,0.7,9.76,3,0.59375,0,28645.39478,46509.51318,75154.90796,1281.5,,2.697894737,133,1029.2,1748
13,501,857,61.15660336,37.02195609,5.388223553,12.04407186,30.90818363,9.492215569,50.86853668,2.185628743,263.5,99,9.2,14.18,49,206.6875,5,1.132202148,2,0.7,9.76,3,1,0,30639.45828,43594.33594,74233.79422,1591.6,,3.176846307,280.56,2159.6,3687.36
14,517,849,57.28796711,36.77369439,5.4827853,12.0410058,31.25435203,10.31914894,53.24375932,2.353965184,234.7226563,99,9.2,14.18,49.5,263.5,5,1.132202148,2,0.7,9.76,3,1,0,29617.879,45203.95166,74821.83066,2113.5,,4.088007737,434.28,3401.52,5707.68
15,537,821,56.00904846,35.54934823,5.501303538,11.99083799,31.7839851,10.99851024,54.95303988,2.549348231,280.6601563,99,9.2,14.18,49.5,262.5,5,1.132202148,2,0.7,9.7,4.5,1,0,30076.85902,45116.44574,75193.30476,2011.1,,3.745065177,300.72,2363.36,3952.32
16,550,799,55.99671625,35.94545455,5.615090909,11.95301818,31.93909091,11.50545455,56.16478759,2.674545455,280.6601563,99,9.3,14.18,49.5,261.5,6,1.132202148,2,0.7,9.7,4.5,1,0,30798.19394,44875.66528,75673.85922,2328.9,,4.234363636,462,3705.96,6138
17,573,771,57.42469533,36.42408377,5.627399651,11.98900524,32.31239092,11.62914485,55.44954269,2.877835951,378.5302734,99,9.3,14.18,49.5,254.4375,6,1.132202148,2,0.7,9.64,5,1,0,32904.35043,42751.59741,75655.94784,2112.4,,3.686561955,320.88,2579.6,4263.12
18,587,734,57.27755679,36.74957411,5.705110733,11.9760477,32.38415673,12.28262351,55.71292846,3.04088586,378.5302734,99,9.3,14.18,49.5,253.4375,7,0.772460938,2,0.6,9.64,5,1,0,33621.92583,40893.28949,74515.21532,2583.8,,4.401703578,422.64,4018.68,6550.92
19,596,728,57.00093241,36.62248322,5.755201342,12.02067114,33.20302013,12.12768456,54.96202632,3.224832215,378.5302734,99,9.3,14.18,49.5,313.3915405,7,1.431671143,2,0.6,9.64,5,0.132202148,0,33972.55571,40012.35516,73984.91088,2426.1,,4.070637584,429.12,4116.12,6651.36
20,611,699,56.97013458,36.95908347,5.837315876,12.04471358,33.27495908,12.59574468,56.09333393,3.394435352,378.5302734,99,9.3,14.18,49.5,312.3915405,7,1.431671143,2,0.6,9.64,5,1,0,34808.75223,39209.24042,74017.99265,2479.5,,4.058101473,439.92,4279.92,6818.76
21,606,705,54.32909896,37.27887789,5.818811881,12.04663366,33.78630363,12.94554455,58.31641199,3.587458746,279.4130859,99,9.4,14.18,49.5,378.5302734,8,1.676006317,2,0.6,9.64,5,0.070922852,0,32923.43397,41113.07045,74036.50442,2913.6,,4.807920792,436.32,4231.44,6835.68
22,602,703,55.04972909,37.92026578,5.85730897,12.06033223,34.50415282,12.91179402,57.74524772,3.794019934,273.9987183,99,9.4,14.18,49.5,377.5302734,8,1.376605988,2,0.6,9.58,5,0.431671143,1,33139.93691,40594.90915,73734.84606,2750.9,,4.569601329,433.44,4231.32,6790.56
23,611,666,55.81386661,38.15548282,5.861211129,12.04343699,35.08101473,12.66022913,59.73953878,3.965630115,347.0732956,99,9.4,14.18,49.5,376.5302734,8,0.759144783,1,0.7,9.58,5.5,0.193359375,1,34102.2725,39786.53283,73888.80533,2462.9,,4.030932897,513.24,4297.44,6892.08
24,644,635,55.10227776,37.59006211,5.894875776,12.05263975,35.47903727,12.05947205,59.81259366,4.155279503,347.0732956,99,9.4,14.18,49.5,375.5302734,9,0.759144783,1,0.7,9.58,5.5,1,1,35485.86688,37980.99697,73466.86385,2463.8,,3.825776398,360.64,3037.04,4842.88
25,664,600,55.65020727,36.30572289,5.952861446,11.99960843,35.61445783,12.13584337,60.63477197,4.36746988,347.0732956,99,9.4,14.18,49.5,374.5302734,9,0.759144783,1,0.6,9.58,5.5,0.886474609,1,36951.73762,36380.86318,73332.60081,2739.1,,4.125150602,478.08,4743.24,7489.92
26,694,566,56.35335158,35.36311239,5.928674352,12.02985591,35.44524496,12.90951009,60.61229033,4.599423631,362.1650925,99,9.4,14.18,49.5,373.5302734,9,0.759144783,1,0.6,9.58,5.5,0.199707031,1,39109.226,34306.55632,73415.78232,3285.3,,4.733861671,499.68,4937.4,7828.32
27,673,583,53.9648746,35.00594354,5.949331352,12.0292422,35.67607727,14.00564636,63.82805105,4.772659733,313.588028,100,9.4,14.18,49.5,372.5302734,9,0.759144783,1,0.6,9.58,6,0.21685791,1,36318.36061,37211.75376,73530.11437,3932.3,,5.842942051,646.08,6406.24,10121.92
28,682,589,50.73924965,34.54692082,5.950293255,12.06129032,36.18108504,14.18328446,65.34124418,5.020527859,309.7209549,100,9.3,14.18,49.5,371.5302734,9,0.970386505,1,0.7,9.58,5.5,1,1,34604.16826,38485.99282,73090.16108,3480.2,,5.102932551,763.84,6492.96,10148.16
29,674,593,52.26511774,33.94362018,5.93620178,12.05994065,36.33679525,14.31068249,63.38459054,5.235905045,326.3634262,100,9.3,14.24,49.5,370.5302734,10,0.62460041,1,0.7,9.58,6,0.863037109,1,35226.68936,37587.06219,72813.75155,3304.3,,4.902522255,566.16,4801.2,7521.84
