Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,600,12.6025,50.41,5.08,11.96,23.37,0.0,49.405,0.0,24.75,99.0,9.0,14.0,49.0,99.0,0,0.25,1.0,1.0,10.0,1.0,1.0,0,1260.25,29643.0,30903.25,0.0
1,96,1132,49.7109375,50.46875,5.020833333333333,11.947916666666666,24.270833333333332,1.7916666666666667,50.05830388692579,0.0,117.75,99.0,9.0,14.0,49.0,99.0,0,1.25,1.0,1.0,10.0,2.0,1.0,0,4772.25,56666.0,61438.25,82.0
2,115,1124,48.801086956521736,48.45217391304348,5.0365217391304355,12.085391304347828,24.856521739130436,2.9391304347826086,49.42326512455516,0.23478260869565218,180.5,99.0,9.1,14.06,49.0,98.0,1,1.25,1.0,1.0,9.94,2.0,1.0,0,5612.125,55551.75,61163.875,156.0
3,140,1107,50.602120535714285,48.77142857142857,5.203571428571427,12.019714285714286,25.55,3.3,49.05199864498645,0.4142857142857143,141.625,99.0,9.1,14.120000000000001,49.0,99.0,2,1.25,1.0,1.0,9.94,2.0,1.0,0,7084.296875,54300.5625,61384.859375,139.0
4,178,1088,48.32456987359551,46.03370786516854,5.187078651685394,12.070000000000002,24.926966292134832,3.2252808988764046,49.275017233455884,0.6629213483146067,187.25,99.0,9.1,14.120000000000001,49.0,98.0,2,1.7890625,1.0,0.9,9.879999999999999,2.0,1.0,0,8601.7734375,53611.21875,62212.9921875,169.2
5,216,1056,53.65529152199074,46.73148148148148,5.300000000000001,12.09712962962963,25.10648148148148,3.586111111111111,48.92223936138731,0.8333333333333334,159.5,99.0,9.1,14.120000000000001,49.0,99.0,3,0.89453125,1.0,0.9,9.879999999999999,2.0,0.25,0,11589.54296875,51661.884765625,63251.427734375,217.5
6,261,1041,51.90699832375479,45.93869731800766,5.247509578544063,12.093716475095782,25.235632183908045,3.7344827586206897,48.40234750240154,1.0421455938697317,174.625,99.0,9.2,14.120000000000001,49.0,117.75,3,0.89453125,1.0,0.8,9.879999999999999,2.0,0.5,0,13547.7265625,50386.84375,63934.5703125,329.1
7,300,1012,53.96152669270833,46.07333333333333,5.41066666666667,12.077399999999999,25.453333333333333,4.810333333333334,47.83372961956522,1.2266666666666666,174.625,99.0,9.2,14.120000000000001,49.0,140.03125,4,0.89453125,1.0,0.8,9.879999999999999,2.0,1.0,0,16188.4580078125,48407.734375,64596.1923828125,538.3
8,337,976,56.96694466339021,44.58160237388724,5.466468842729965,12.028071216617208,25.85459940652819,6.20563798219585,47.91897332863729,1.400593471810089,187.796875,99.0,9.2,14.120000000000001,49.0,139.03125,4,4.224609375,1.0,0.8,9.879999999999999,2.0,0.96875,0,19197.8603515625,46768.91796875,65966.7783203125,835.5
9,373,904,54.91282019730228,44.72654155495979,5.527882037533511,11.998552278820375,26.361930294906166,6.589008042895443,47.518831236172566,1.5764075067024128,224.8125,99.0,9.299999999999999,14.120000000000001,49.0,143.375,4,1.212158203125,1.0,0.8,9.879999999999999,2.0,0.578125,0,20482.48193359375,42957.0234375,63439.50537109375,1108.5
10,420,794,53.696180361793154,43.576190476190476,5.59738095238095,12.016619047619047,26.08809523809524,6.633809523809527,48.374273112799116,1.8142857142857143,187.796875,99.0,9.299999999999999,14.180000000000001,49.5,142.375,5,2.42431640625,1.0,0.8,9.819999999999999,2.0,0.25,0,22552.395751953125,38409.1728515625,60961.568603515625,973.6
11,468,728,47.52551060864049,43.14957264957265,5.5995726495726466,12.057264957264948,26.978632478632477,7.038675213675213,49.515012803968496,1.982905982905983,187.796875,99.0,9.399999999999999,14.180000000000001,49.5,174.625,5,2.42431640625,1.0,0.8,9.819999999999999,2.0,1.0,0,22241.93896484375,36046.92932128906,58288.86828613281,1255.4
12,498,660,45.765568438303994,43.144578313253014,5.625100401606424,12.031726907630528,27.772088353413654,7.206024096385549,50.02630633729877,2.1887550200803214,230.796875,100.0,9.399999999999999,14.180000000000001,49.5,173.625,6,0.6060791015625,1.0,0.8,9.819999999999999,1.5,1.0,0,22791.25308227539,33017.36218261719,55808.61526489258,1598.2
13,523,578,46.86792671976764,43.05736137667304,5.641108986615681,12.02558317399617,29.35755258126195,7.232695984703639,49.8800592917472,2.3212237093690247,160.796875,100.0,9.299999999999999,14.180000000000001,49.5,230.796875,6,0.6060791015625,1.0,0.8,9.759999999999998,1.5,0.28125,0,24511.925674438477,28830.674270629883,53342.59994506836,1418.3
14,566,503,45.61941477098229,42.0,5.615901060070666,12.051908127208467,29.604240282685513,8.103533568904595,49.90474332350623,2.489399293286219,173.40234375,100.0,9.299999999999999,14.180000000000001,50.0,229.796875,6,0.6060791015625,1.0,0.8,9.759999999999998,2.0,0.7802734375,0,25820.588760375977,25102.085891723633,50922.67465209961,1785.6
15,597,434,44.21052661173707,41.231155778894475,5.558291457286431,12.051122278056956,30.807370184254605,9.909882747068677,51.523557988179995,2.659966499162479,184.07421875,100.0,9.299999999999999,14.180000000000001,50.0,228.796875,6,0.6060791015625,1.0,0.8,9.759999999999998,3.0,0.3628692626953125,0,26393.68438720703,22361.224166870117,48754.90855407715,2401.9
16,573,413,44.70407006628226,41.68411867364747,5.465619546247821,12.010052356020937,31.883944153577662,11.29703315881326,51.96559002670769,2.781849912739965,249.355224609375,100.0,9.299999999999999,14.240000000000002,50.0,169.625,6,0.6060791015625,1.0,0.8,9.759999999999998,3.5,0.25,0,25615.432147979736,21461.788681030273,47077.22082901001,3040.9
17,567,383,43.91328047528679,40.60493827160494,5.4781305114638394,12.010158730158718,32.92857142857143,11.782716049382715,53.091277976571426,2.9347442680776012,249.355224609375,100.0,9.2,14.240000000000002,50.0,184.07421875,6,0.6060791015625,1.0,0.8,9.759999999999998,3.5,1.4874267578125,0,24898.83002948761,20333.959465026855,45232.789494514465,2422.7
18,591,356,42.56069770561257,41.03045685279188,5.487309644670048,11.98243654822335,33.75042301184433,12.02588832487309,50.48762645078509,3.0998307952622675,210.12109375,100.0,9.2,14.180000000000001,50.0,249.355224609375,7,0.6060791015625,1.0,0.8,9.759999999999998,3.5,0.4874267578125,0,25153.37234401703,17973.595016479492,43126.96736049652,2322.0
19,592,320,42.276717725637795,40.866554054054056,5.515709459459465,11.949493243243237,34.433277027027025,12.456418918918917,51.071253687143326,3.2364864864864864,188.745361328125,100.0,9.2,14.180000000000001,50.0,248.355224609375,7,0.6060791015625,1.0,0.8,9.699999999999998,6.5,0.33428955078125,0,25027.816893577576,16342.801179885864,41370.61807346344,2420.8
20,579,300,42.19007273247411,40.21588946459413,5.55509499136442,11.962107081174441,35.042314335060446,13.517962003454224,51.313754383722944,3.373056994818653,248.30419921875,100.0,9.2,14.180000000000001,50.0,247.355224609375,7,0.5851516723632812,1.0,0.8,9.699999999999998,6.5,0.6060791015625,0,24428.05211210251,15394.126315116882,39822.17842721939,2634.3
